Gene_Name	UniProtKB_ID	Ensembl_Protein_ID	A0218_6A	A0218_6B	A0218_4B	A0218_4A	A0218_8B	A0218_2A	A0218_2B	A0218_1A_WHIM16	A0218_8A	Adult_Colon_bRP_Elite_50	Adult_Rectum_bRP_Elite_84	Adult_Colon_Gel_Elite_51	A0218_1B	A0218_5A	A0218_5B	A0218_7B	A0218_7A	Adult_Rectum_Gel_Elite_63	A0218_3B	A0218_3A	A0232_6	A0232_4	A0232_5	A0232_2	A0232_3	A0218_9B	A0232_1	A0218_9A	A0218_10A	A0218_10B	
UBE2Q1	Q7Z7E8	ENSP00000292211	0	2	1	1	1	0	3	0	0	0	0	0	1	0	4	1	0	0	1	0	2	4	1	2	3	2	2	0	0	1	
RNF14	Q9UBS8,E7EP22,D6RAS4,D6RDK2,D6RA38,D6R988,D6RDU6,D6R996,D6RBK4,D6RBU3	ENSP00000423420,ENSP00000423273,ENSP00000421780,ENSP00000378028,ENSP00000420837,ENSP00000378022,ENSP00000426832,ENSP00000422650,ENSP00000422527,ENSP00000425361,ENSP00000423294,ENSP00000378027,ENSP00000348462,ENSP00000324956,ENSP00000442490,ENSP00000378023	1	0	1	1	3	1	0	1	0	3	3	2	1	0	0	1	0	0	1	2	1	1	0	1	1	1	1	1	0	1	
UBE2Q2	Q8WVN8,E9PHD0,H3BN94,H3BV95	ENSP00000267938,ENSP00000456324,ENSP00000458006,ENSP00000456229,ENSP00000400960,ENSP00000454742,ENSP00000340187	0	1	2	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	
RNF10	Q8N5U6,H0YF69,F5H5Z1,F5H3A4,H0YFQ9,H0YGL7,A0A0G2JKT9,H0YFN9,F5H510,H0YG28,F5H5P6,H0YGX5	ENSP00000438638,ENSP00000322242,ENSP00000444770,ENSP00000443000,ENSP00000415682,ENSP00000443790,ENSP00000443235,ENSP00000439510,ENSP00000437392,ENSP00000439221,ENSP00000439859,ENSP00000445160,ENSP00000441487,ENSP00000445545,ENSP00000401517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	
REM1	O75628	ENSP00000201979	0	0	0	0	1	0	2	0	2	0	0	0	0	1	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	
C16orf13	Q96S19,H3BQ55,H3BRT2,H3BMF3,H3BNB2,H3BNT3,A0A087WYU2,H3BS73	ENSP00000444140,ENSP00000440765,ENSP00000445926,ENSP00000440475,ENSP00000456569,ENSP00000454359,ENSP00000444460,ENSP00000456393,ENSP00000454993,ENSP00000455614,ENSP00000454764,ENSP00000482089	1	4	0	4	2	3	4	0	3	1	3	5	1	1	0	1	1	2	1	3	6	5	7	4	6	2	7	3	1	2	
RPEL1	Q2QD12	ENSP00000476672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
MVB12B	Q9H7P6,F8W922	ENSP00000354772,ENSP00000485994,ENSP00000384751	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MZT2A	Q6P582,H7C202	ENSP00000403353,ENSP00000311500	0	0	0	0	2	0	1	0	0	1	2	1	1	0	2	2	0	0	1	0	1	2	2	2	2	2	2	0	1	0	
TSKS	Q9UJT2,C9K0I0	ENSP00000246801,ENSP00000351691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
ATRX	P46100,A0A096LNW1,A0A096LNL7,A0A096LNN3,H0Y3T0,A0A096LP59,A0A096LNL9,A0A096LNX6,A0A096LNR8,A0A096LNL6,A0A096LPG6,A0A087WWG0	ENSP00000362441,ENSP00000378967,ENSP00000480196,ENSP00000485274,ENSP00000383663,ENSP00000485183,ENSP00000485103,ENSP00000485408,ENSP00000485253,ENSP00000485127,ENSP00000485099,ENSP00000485100,ENSP00000485587,ENSP00000362438,ENSP00000383659,ENSP00000383658	1	2	2	2	2	0	5	4	2	0	0	0	4	0	2	0	1	0	2	1	5	4	6	6	6	0	3	2	0	1	
PMM2	O15305,H3BV34,H3BM92,H3BV55,H3BT06,H3BR08,H3BRM0,H3BNY9,H3BPH4	ENSP00000457956,ENSP00000268261,ENSP00000456774,ENSP00000456275,ENSP00000455066,ENSP00000456024,ENSP00000454395,ENSP00000454284,ENSP00000456961,ENSP00000457932,ENSP00000456302,ENSP00000455320,ENSP00000445879,ENSP00000438359	1	2	4	3	2	6	3	3	3	9	10	11	4	4	3	2	2	8	3	1	11	8	9	8	7	3	7	4	3	5	
PMM1	Q92871,F8WFD5	ENSP00000216259,ENSP00000400889	1	0	0	2	0	1	0	2	0	1	1	2	0	0	0	0	1	1	0	1	2	2	1	1	3	0	2	1	0	0	
ASS1	P00966,Q5T6L6,Q5T6L5	ENSP00000253004,ENSP00000361471,ENSP00000361469,ENSP00000394212,ENSP00000397785,ENSP00000361461,ENSP00000361470	20	26	35	28	29	27	35	25	31	23	31	27	24	19	29	31	19	20	28	29	52	56	56	45	45	27	47	20	13	37	
FHIT	P49789,E9PBZ0,A0A0A0MRB0	ENSP00000417557,ENSP00000418582,ENSP00000417480,ENSP00000418596,ENSP00000342087	0	0	0	0	0	0	0	0	0	1	2	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
ZNF879	B4DU55,E5RJY9,E5RGZ8,E5RI37	ENSP00000414887,ENSP00000430047,ENSP00000428477,ENSP00000431043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
ZNF878	C9JN71	ENSP00000447931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
DISC1	Q9NRI5,A0A075B6Q7,C4P093,C4P0B1,C4P0A0,C4P0D6,C4P0D4,C4P092,C4P0B0,C4P0D8,Q5T409,A0A087WYX6,H0Y7U2	ENSP00000320784,ENSP00000473386,ENSP00000473417,ENSP00000473586,ENSP00000441193,ENSP00000440953,ENSP00000295051,ENSP00000473425,ENSP00000355593,ENSP00000355592,ENSP00000473261,ENSP00000355596,ENSP00000487190,ENSP00000443996,ENSP00000355597,ENSP00000403888,ENSP00000415147,ENSP00000481791,ENSP00000440909,ENSP00000482174,ENSP00000406646,ENSP00000355598,ENSP00000433731	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ZNF703	Q9H7S9	ENSP00000332325,ENSP00000380411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
SPR	P35270	ENSP00000234454	12	7	5	15	5	18	8	11	12	20	21	21	3	11	9	4	23	14	3	13	22	22	23	20	18	3	21	10	8	10	
NCBP3	Q53F19,K7ELP6,K7EQA5	ENSP00000373657,ENSP00000467742,ENSP00000466165	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ZNF707	Q96C28,E9PS67,E9PKX4,E9PQ20,E9PHZ0,A0A0G2JQ14,E9PJ46,E9PP66,E9PNV7,E9PPS7	ENSP00000488529,ENSP00000488006,ENSP00000488098,ENSP00000487846,ENSP00000488675,ENSP00000488654,ENSP00000488184,ENSP00000487900,ENSP00000488157,ENSP00000481069,ENSP00000488790,ENSP00000484744,ENSP00000488596,ENSP00000487682,ENSP00000484032,ENSP00000481033,ENSP00000434791,ENSP00000437134,ENSP00000434322,ENSP00000435251,ENSP00000434503,ENSP00000436362,ENSP00000435679,ENSP00000434215,ENSP00000393748,ENSP00000351482,ENSP00000436634,ENSP00000436250,ENSP00000436394,ENSP00000435906,ENSP00000436212,ENSP00000413215,ENSP00000409029,ENSP00000456674,ENSP00000456044,ENSP00000457481,ENSP00000456902,ENSP00000458107,ENSP00000456939,ENSP00000457918,ENSP00000455222,ENSP00000456700,ENSP00000455926,ENSP00000455672,ENSP00000457652,ENSP00000455729,ENSP00000456361,ENSP00000454378	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
ZNF706	Q9Y5V0,H0YAP1,E5RIY7,E5RHV4,H0YC70,E5RHR6	ENSP00000427761,ENSP00000431059,ENSP00000311768,ENSP00000429645,ENSP00000428227,ENSP00000427803,ENSP00000430823,ENSP00000428985,ENSP00000430165,ENSP00000428696,ENSP00000430845,ENSP00000429260,ENSP00000430090	1	1	2	3	1	2	3	2	2	0	3	0	1	4	1	1	2	0	2	1	1	2	2	2	3	1	2	2	4	1	
ZNF704	Q6ZNC4,E5RGL7	ENSP00000331462,ENSP00000427715	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSP00000469663	-	-	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
RNF114	Q9Y508,A0A096LP02,A0A096LNV3,A0A096LNT1,A0A096LPF9,A0A096LNN8	ENSP00000485136,ENSP00000244061,ENSP00000485203,ENSP00000485575,ENSP00000485239,ENSP00000485317,ENSP00000387505	2	3	2	1	5	2	5	1	0	2	4	1	5	0	4	1	2	0	3	0	0	3	3	0	2	3	3	0	0	4	
ZC3H15	Q8WU90,H7C466,F8WF67,F8WB26	ENSP00000338788,ENSP00000410981,ENSP00000407192,ENSP00000415788,ENSP00000439885,ENSP00000440525	3	5	6	6	4	8	7	3	3	14	10	0	7	2	5	1	3	0	5	7	6	4	3	4	5	2	7	1	1	0	
ZC3H14	Q6PJT7,G3V411,H0YJ87,G3V473,G3V3Y4,G3V5I6,G3V240,G3V2X4,H0YJ51,H0YJA2,G3V3R9,G3V4R5,G3V256,G3V572,A0A087WTC9	ENSP00000251038,ENSP00000307025,ENSP00000451638,ENSP00000450917,ENSP00000450474,ENSP00000451389,ENSP00000452370,ENSP00000451489,ENSP00000452475,ENSP00000377150,ENSP00000338002,ENSP00000452210,ENSP00000450451,ENSP00000451054,ENSP00000451007,ENSP00000477763,ENSP00000327176,ENSP00000451530,ENSP00000384682,ENSP00000451941,ENSP00000450823,ENSP00000377164,ENSP00000251037,ENSP00000370059,ENSP00000352250	0	3	1	0	4	0	2	1	1	1	2	1	4	0	1	3	1	0	1	0	4	2	0	1	1	2	1	0	0	2	
ENSP00000469664	-	-	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
RNF111	Q6ZNA4,H0YKS2,H0YKK5,H0YLK9	ENSP00000452919,ENSP00000288199,ENSP00000452842,ENSP00000453872,ENSP00000452732,ENSP00000453015,ENSP00000453248,ENSP00000393641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	
ZC3H18	Q86VM9,H3BPD0,E7ERS3,H3BRH3,H3BP01,H3BRN6	ENSP00000301011,ENSP00000416951,ENSP00000455260,ENSP00000455083,ENSP00000456334,ENSP00000456241,ENSP00000289509,ENSP00000442341	0	3	6	0	0	0	4	0	0	2	2	0	1	0	2	0	0	0	2	0	3	2	2	2	2	2	2	0	0	1	
GRIN1	Q05586,A2AVK2,Q5VSF9	ENSP00000360616,ENSP00000316915,ENSP00000360605,ENSP00000360601,ENSP00000360610,ENSP00000360608,ENSP00000360614,ENSP00000360615,ENSP00000316696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
DHX8	Q14562,F5H658,K7EJH9,K7EQH7,K7END7	ENSP00000467834,ENSP00000437886,ENSP00000262415,ENSP00000466900,ENSP00000465178	0	3	2	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	1	2	0	3	0	0	1	
DHX9	Q08211	ENSP00000356520,ENSP00000440408	62	156	200	94	119	103	150	55	77	64	54	73	105	80	178	126	72	91	126	70	235	209	203	204	233	126	224	60	52	139	
TCOF1	Q13428,J3KQ96,E7ETY2,H0YAB7,H0YA99,H0Y8Y7	ENSP00000409944,ENSP00000325223,ENSP00000406888,ENSP00000377811,ENSP00000390717,ENSP00000421655,ENSP00000427484,ENSP00000426471,ENSP00000426587,ENSP00000422567,ENSP00000367028,ENSP00000400939	4	26	19	4	23	4	26	3	3	9	11	0	27	0	11	19	1	0	18	3	22	27	19	26	28	10	10	0	0	3	
NSRP1	Q9H0G5,J3QS82,J3KT62,K7EK40,J3QLV5,J3QRI6,K7EQJ6,K7ERM9,H7BYM1,K7EMD8	ENSP00000464237,ENSP00000247026,ENSP00000462820,ENSP00000378303,ENSP00000466640,ENSP00000464569,ENSP00000463722,ENSP00000465442,ENSP00000468327,ENSP00000466463,ENSP00000467856,ENSP00000477862,ENSP00000442854	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
NUP98	P52948,E9PNN0,H0YDF4,H7BYP8,H0YDA1,H0YCR0,H0YEN4,H0YCT1,H7C3P6	ENSP00000432275,ENSP00000316032,ENSP00000347404,ENSP00000413146,ENSP00000433515,ENSP00000433226,ENSP00000380199,ENSP00000380202,ENSP00000436226,ENSP00000432142,ENSP00000380208,ENSP00000434698,ENSP00000352091	4	18	16	9	27	11	18	6	6	17	15	2	22	2	13	13	5	4	16	8	27	28	26	19	18	10	27	3	4	14	
