Tumor_Rank
Gene	TCGA_29-1688_24-1435_24-1562_117C	TCGA_114C_24-2030-01A-01_29-1702-01A-01_24-2033-01A-01	TCGA_114C_25-2399-01A-01_29-1698-01A-01_09-2056-01B-01	TCGA_29-1697_13-1488_25-1623_117C	TCGA_114C_24-1103-01A-01_24-2289-01A-01_13-1511-01A-01	TCGA_61-1914_61-1900_09-1664_117C	TCGA_114C_61-1727-01A-01_25-1323-01A-01_36-1580-01A-01	TCGA_114C_29-1690-01A-01_25-1631-01A-01_13-1500-01A-01	TCGA_114C_13-1489-01A-01_13-1482-01A-01_13-1504-01A-01	TCGA_114C_61-1907-01A-01_25-1329-01A-01_24-1557-01A-01	TCGA_114C_59-2351-01A-01_24-2290-01A-01_59-2348-01A-01	TCGA_61-2095_61-1919_25-2404_117C	TCGA_24-1430_24-1466_24-1552_117C	TCGA_114C_OVARIAN-CONTROL_25-2396-01A-01_36-2545-01A-01	TCGA_24-1545_24-2288_29-1693_117C	TCGA_36-1581_23-1123_24-1553_117C	TCGA_114C_24-2024-01A-02_29-1693-01A-01_13-1485-01A-02	TCGA_25-1630_13-1499_29-1775_117C	TCGA_114C_OVARIAN-CONTROL_25-2404-01A-01_24-1430-01A-01	TCGA_114C_OVARIAN-CONTROL_29-1710-01A-02_36-1571-01A-01	TCGA_114C_24-1435-01A-01_30-1887-01A-01_23-1121-01A-01	TCGA_114C_24-2298-01A-01_24-1544-01A-01_61-1914-01A-01	TCGA_114C_36-1577-01A-01_29-1768-01A-01_36-1569-01A-01	TCGA_24-1105_29-1785_24-2290_117C	TCGA_25-1319_24-2289_42-2588_117C	TCGA_29-2414_61-1995_13-1484_117C	TCGA_114C_24-1555-01A-01_24-1562-01A-01_25-1628-01A-01	TCGA_114C_59-2372-01A-01_24-1548-01A-01_29-1762-01A-01	TCGA_114C_OVARIAN-CONTROL_29-1697-01A-01_13-2060-01A-01	TCGA_114C_29-1696-01A-01_29-1771-01A-01_13-2066-01A-02	TCGA_CompRef	TCGA_114C_29-1711-01A-01_13-1483-01A-01_24-1422-01A-01	TCGA_114C_61-1910-01A-01_29-1770-01A-01_13-1410-01A-01	TCGA_114C_24-1431-01A-01_36-1570-01A-01_13-1488-01A-01	TCGA_36-2530_24-1103_29-1776_117C	TCGA_114C_13-1409-01A-01_24-1416-01A-01_29-1769-01A-01	TCGA_24-2023_24-1603_61-2612_117C	TCGA_114C_13-2065-01A-02_61-1918-01A-01_61-2613-01A-01	TCGA_29-1763_61-1741_24-2024_117C	TCGA_114C_36-2547-01A-01_36-1578-01A-01_36-2542-01A-01	TCGA_24-1428_24-1923_24-1563_117C	TCGA_29-1774_36-1576_24-2030_117C	TCGA_24-1604_24-2020_25-1320_117C	TCGA_114C_29-1785-01A-01_61-2088-01A-01_25-1623-01A-01	TCGA_114C_59-2352-01A-01_61-1915-01A-01_24-1565-01A-01	TCGA_114C_24-1558-01A-01_29-1705-01A-01_OVARIAN-CONTROL	TCGA_25-1316_24-1550_24-1555_117C	TCGA_114C_13-1492-01A-01_36-2530-01A-01_25-2409-01A-01	TCGA_24-2295_24-2027_29-1768_117C	TCGA_114C_09-1664-01A-01_61-2094-01A-01_25-1312-01A-01	TCGA_114C_36-2534-01A-01_JB-5776-1_36-2549-01A-01	TCGA_114C_25-1318-01A-01_36-2532-01A-01_13-2059-01A-02	TCGA_114C_29-1763-01A-02_25-2397-01A-01_29-2427-01A-01	TCGA_114C_OVARIAN-CONTROL_24-1553-01A-01_13-1487-01A-01	TCGA_114C_29-1688-01A-01_13-1494-01A-01_13-1507-01A-01	TCGA_114C_61-2087-01A-01_29-2431-01A-01_61-1724-01A-01	TCGA_29-1777_61-2008_24-1551_117C	TCGA_29-1762_13-2071_36-2543_117C	TCGA_114C_23-1122-01A-01_24-1464-01A-01_25-1322-01A-01	TCGA_24-1467_29-2432_25-1321_117C	TCGA_114C_24-1474-01A-01_13-1501-01A-01_OVARIAN-CONTROL	TCGA_114C_61-1741-01A-02_61-1911-01A-01_13-1404-01A-01	TCGA_114C_24-1436-01A-01_13-2061-01A-02_36-2537-01A-01	TCGA_114C_24-1927-01A-01_OVARIAN-CONTROL_36-2544-01A-01	TCGA_61-1907_23-1124_25-1635_117C	TCGA_24-1556_24-2267_24-2260_117C	TCGA_25-2400_30-1866_25-2409_117C	TCGA_13-1489_42-2590_36-2529_117C	TCGA_25-1628_13-1494_24-1104_117C	TCGA_114C_25-1313-01A-01_29-1766-01A-01_24-2261-01A-01	TCGA_114C_24-1920-01A-01_30-1891-01A-01_61-2008-01A-02	TCGA_61-2096_61-1911_13-1495_117C	TCGA_114C_13-1497-01A-01_OVARIAN-CONTROL_61-1995-01A-01	
CDH11	5355.500000	5532.000000	4695.000000	4414.000000	4615.500000	3752.000000	4827.000000	4058.000000	4952.000000	5068.500000	3639.000000	4329.000000	4467.000000	5679.000000	0.000000	4571.000000	3903.000000	4042.000000	4649.000000	3861.000000	5041.000000	3232.500000	5478.500000	3894.000000	4735.000000	5850.000000	6173.000000	5251.500000	4359.000000	5896.000000	3863.000000	6610.500000	5962.500000	5622.000000	4243.000000	5021.500000	3335.000000	5995.500000	4989.000000	4721.000000	6126.500000	6799.000000	5060.500000	3901.000000	5944.000000	5578.500000	4503.500000	5776.500000	5162.000000	3494.000000	4259.500000	4447.500000	6176.500000	5394.000000	6622.000000	4360.000000	4560.500000	7044.500000	3585.500000	4661.500000	5155.500000	3898.000000	4166.000000	5677.000000	6115.000000	4550.500000	3640.000000	5137.000000	3529.500000	6760.500000	4258.500000	5569.500000	6142.000000	
APOB	2685.000000	2347.000000	2140.000000	2252.000000	2216.000000	2286.000000	1722.000000	2545.000000	2172.000000	1982.000000	1579.000000	1953.000000	2219.000000	2303.000000	2505.000000	2303.000000	1845.000000	1909.000000	2268.000000	2304.000000	2324.000000	1631.000000	2429.000000	1621.000000	2154.000000	2745.000000	2493.000000	2386.000000	2285.000000	2709.000000	1879.000000	2414.000000	0.000000	1961.000000	2358.000000	2413.000000	1948.000000	2018.000000	2188.000000	2183.000000	2800.000000	2888.000000	2724.000000	2282.000000	2619.000000	2917.000000	2941.500000	2740.000000	2545.000000	2895.000000	1625.000000	2598.000000	2676.000000	1679.000000	1875.000000	2445.000000	2264.000000	2305.000000	2033.000000	2388.000000	1909.000000	2308.000000	1947.000000	2200.000000	1617.000000	1659.000000	2675.000000	2130.000000	2121.000000	2587.000000	2551.000000	2051.000000	2531.000000	
SLC39A14	4629.000000	5184.500000	4385.500000	4789.500000	4978.500000	4332.000000	4613.000000	5248.000000	5523.500000	4165.000000	4192.500000	4938.000000	3530.000000	4923.500000	4317.000000	3288.500000	5119.500000	4335.000000	6188.000000	5211.000000	5828.000000	4300.500000	5170.000000	5292.500000	4571.500000	4982.000000	5574.500000	5363.000000	4574.500000	3596.000000	5324.000000	4165.500000	3416.000000	3747.000000	4883.500000	5071.500000	5078.000000	4801.000000	4725.000000	5125.500000	4911.000000	4179.000000	4536.000000	4943.000000	4276.500000	5445.000000	5083.000000	4857.500000	5373.000000	3907.000000	5173.000000	3498.000000	4294.000000	4132.500000	4723.000000	4372.500000	5562.500000	5612.000000	5237.000000	5250.000000	4241.500000	5482.000000	5392.000000	5372.000000	4202.500000	5143.000000	5230.000000	4526.000000	5586.500000	4808.000000	5133.000000	5105.500000	4639.500000	
EGFR	5532.000000	7062.000000	4665.000000	5855.000000	5684.000000	5712.000000	5297.500000	5408.000000	6116.000000	5584.000000	6507.000000	6461.000000	5029.500000	6314.000000	7254.000000	4932.500000	6912.000000	5160.000000	5090.000000	5458.000000	5473.000000	6169.000000	6857.500000	5944.500000	6052.000000	6845.000000	6191.000000	5480.000000	4838.000000	6378.500000	5087.000000	5819.000000	3244.000000	6793.000000	6172.000000	7499.500000	5780.000000	6652.500000	7057.000000	5694.000000	6826.500000	5443.000000	4449.000000	6964.000000	7717.000000	6870.000000	5280.000000	5227.000000	5423.000000	5584.000000	5902.000000	5381.000000	5548.000000	5412.000000	7182.000000	6261.000000	5536.000000	7072.000000	5747.000000	5636.000000	6819.000000	5458.500000	4820.000000	7667.000000	0.000000	5970.000000	4727.000000	6379.000000	7457.000000	5678.000000	4916.000000	5982.000000	6052.500000	
CELSR1	6644.000000	7743.000000	8551.000000	7020.000000	7870.000000	7901.000000	7465.000000	9136.000000	8529.000000	6899.000000	0.000000	7617.000000	7630.000000	7059.000000	7354.500000	7275.000000	6364.000000	7574.000000	7525.000000	8052.000000	8847.000000	0.000000	5695.000000	7949.000000	8397.000000	7862.000000	8774.000000	8538.000000	8571.500000	7113.000000	6889.000000	0.000000	0.000000	7594.000000	6883.000000	6507.000000	0.000000	0.000000	8046.000000	8108.000000	7624.000000	7508.000000	0.000000	0.000000	8036.000000	7398.000000	7970.000000	7636.000000	8057.000000	8686.000000	8028.500000	8120.000000	8657.000000	6631.500000	7432.000000	7042.000000	7625.000000	7876.000000	8796.000000	7950.000000	8587.000000	7038.000000	8715.000000	7750.000000	6596.000000	8374.000000	8161.500000	6309.000000	7683.000000	7577.000000	7186.000000	7650.000000	7534.000000	
TFRC	1115.000000	1602.000000	1560.000000	1145.000000	1813.000000	1570.500000	1273.000000	1662.000000	1837.000000	1125.000000	2225.500000	2391.000000	1552.500000	1843.500000	2546.500000	1325.000000	2558.500000	1500.000000	1425.000000	1543.000000	1462.000000	1605.000000	1354.000000	2855.000000	1502.000000	2081.000000	1441.000000	1932.500000	1729.000000	1626.000000	1340.000000	1361.000000	2411.000000	1900.000000	1667.500000	2604.000000	2216.500000	1777.000000	2765.500000	1684.000000	1849.000000	2620.000000	2290.500000	1732.000000	1148.000000	1956.000000	1835.000000	1849.000000	1892.000000	1804.500000	2158.000000	1243.000000	1455.000000	1771.500000	1929.500000	1882.000000	1565.000000	3099.500000	1666.000000	1141.000000	1201.000000	1661.000000	1155.000000	2105.500000	2577.000000	1584.000000	1030.000000	2889.500000	2263.000000	2076.500000	1804.000000	2152.000000	1004.000000	
ANPEP	1262.000000	3608.000000	2189.000000	3024.000000	3448.000000	2921.000000	3177.000000	3306.000000	3243.000000	1635.000000	2712.000000	2763.000000	3060.000000	2213.000000	2820.000000	2492.000000	3369.000000	2910.000000	3565.000000	2695.000000	2842.000000	3035.000000	3132.000000	1851.000000	2507.000000	4457.000000	3023.000000	3804.000000	3035.000000	3457.000000	3003.000000	3763.000000	1408.000000	1107.000000	4080.000000	3178.000000	2640.000000	2972.000000	2643.000000	3117.000000	4536.000000	2838.000000	3032.000000	2645.000000	4581.000000	4379.000000	3441.000000	3250.000000	2493.000000	3526.000000	3368.000000	1192.000000	2609.000000	2856.000000	2509.000000	3973.000000	3208.000000	2648.000000	3499.000000	4391.000000	2986.000000	1948.000000	3630.000000	3332.000000	3463.000000	3165.000000	2712.000000	2776.000000	2061.000000	3859.000000	3624.000000	3039.000000	3379.000000	
LMAN2	994.000000	1009.000000	951.000000	871.000000	1383.000000	1032.000000	1056.500000	1069.000000	1015.000000	1083.000000	932.000000	1071.000000	1172.000000	1050.000000	972.000000	931.000000	1147.000000	968.000000	997.000000	995.000000	1108.000000	921.000000	1335.000000	1047.500000	1142.000000	1144.000000	970.000000	1424.500000	1043.500000	751.000000	829.500000	922.500000	978.000000	1217.000000	1059.000000	1098.000000	853.000000	1317.000000	1171.000000	1053.000000	915.000000	978.500000	1298.500000	1322.000000	1107.000000	1132.000000	888.000000	1053.000000	899.000000	970.000000	1362.500000	933.000000	996.000000	1102.000000	1136.000000	1011.000000	1075.000000	1222.500000	1168.000000	883.000000	923.000000	904.000000	1003.500000	994.000000	1022.000000	846.000000	1276.500000	904.000000	1546.000000	1050.000000	1030.000000	1280.000000	1053.000000	
ITPR3	6060.000000	4459.000000	3945.000000	4055.000000	4148.000000	4386.000000	4404.000000	4632.000000	5155.000000	4200.000000	6567.000000	4673.000000	5427.000000	5144.000000	4845.000000	3917.000000	5753.000000	4495.000000	4904.000000	5507.000000	5405.000000	4810.000000	4412.000000	5669.000000	4216.000000	4670.000000	5106.000000	4330.000000	3922.000000	4422.000000	4464.000000	5007.000000	3811.000000	5635.000000	4345.000000	4447.000000	5701.000000	5920.000000	5113.000000	4641.000000	4442.000000	4735.000000	4922.000000	5427.000000	3799.000000	4508.000000	5011.000000	3760.000000	5185.000000	4015.000000	4486.000000	4293.000000	4491.000000	5807.000000	4887.000000	4388.000000	4831.000000	4672.000000	6087.000000	4056.000000	3567.000000	3999.000000	4499.000000	5041.000000	4980.000000	4502.000000	4701.000000	4248.000000	4798.000000	3739.000000	4567.000000	3968.000000	4855.000000	
TAPBPL	6119.000000	7003.500000	6809.000000	5444.500000	4351.500000	5766.000000	7058.000000	8500.000000	6375.000000	6330.000000	5665.500000	4841.000000	7293.500000	4457.000000	5358.000000	7979.000000	4427.000000	5175.000000	5543.000000	5114.500000	4469.000000	5248.500000	5067.000000	5211.000000	6308.000000	0.000000	5907.000000	7335.000000	5763.000000	3523.500000	4611.000000	4070.500000	0.000000	4316.500000	6435.000000	4978.000000	4426.000000	6244.500000	4277.500000	7240.500000	3492.000000	6085.000000	5323.000000	4164.500000	4642.000000	6474.000000	5896.000000	6045.500000	4618.000000	6033.000000	5091.000000	6692.500000	5774.000000	3604.000000	0.000000	0.000000	6650.500000	5008.000000	5968.000000	5960.000000	6422.500000	5891.000000	0.000000	4479.500000	4136.000000	6221.500000	6371.000000	4765.000000	3974.000000	5369.000000	5053.000000	5023.000000	6096.000000	
